,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Length,Producer(s)_1,Producer(s)_2,Producer(s)_3,Producer(s)_4,Producer(s)_5,Producer(s)_6,Producer(s)_7,Producer(s)_8,Released,Songwriter(s)_1,Songwriter(s)_10,Songwriter(s)_11,Songwriter(s)_12,Songwriter(s)_13,Songwriter(s)_14,Songwriter(s)_15,Songwriter(s)_16,Songwriter(s)_17,Songwriter(s)_18,Songwriter(s)_19,Songwriter(s)_2,Songwriter(s)_20,Songwriter(s)_21,Songwriter(s)_22,Songwriter(s)_23,Songwriter(s)_24,Songwriter(s)_3,Songwriter(s)_4,Songwriter(s)_5,Songwriter(s)_6,Songwriter(s)_7,Songwriter(s)_8,Songwriter(s)_9,artist,index,link,rank,title,year
0,Folk,,,,,,,2:25,,,,,,,,,1943 (1943),Lead Belly,,,,,,,,,,,,,,,,,,,,,,,,Gordon Jenkins & The Weavers,0,"https://en.wikipedia.org/wiki/Goodnight,_Irene",1,"""Goodnight Irene""",1950
1,Traditional pop,,,,,,,3:27,,,,,,,,,May 1950,"Ray Evans, Jay Livingston[1]",,,,,,,,,,,,,,,,,,,,,,,,Nat King Cole,1,https://en.wikipedia.org/wiki/Mona_Lisa_(Nat_King_Cole_song),2,"""Mona Lisa""",1950
2,,,,,,,,2:06,,,,,,,,,1949,Anton Karas,,,,,,,,,,,,,,,,,,,,,,,,Anton Karas,2,https://en.wikipedia.org/wiki/The_Third_Man_Theme,3,"""Third Man Theme""",1950
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gary & Bing Crosby,3,https://en.wikipedia.org/wiki/Sam%27s_Song,4,"""Sam's Song""",1950
5,Pop,,,,,,,3:20,,,,,,,,,1949,"Stephen Weiss, Bernie Baum",,,,,,,,,,,,,,,,,,,,,,,,Teresa Brewer,5,https://en.wikipedia.org/wiki/Music!_Music!_Music!,6,"""Music, Music, Music""",1950
6,,,,,,,,2:06,,,,,,,,,1949,Anton Karas,,,,,,,,,,,,,,,,,,,,,,,,Guy Lombardo,6,https://en.wikipedia.org/wiki/The_Third_Man_Theme,7,"""Third Man Theme""",1950
7,,,,,,,,,Owen Bradley,,,,,,,,,"Harry Stone, Jack Stapp",,,,,,,,,,,,,,,,,,,,,,,,Red Foley,7,https://en.wikipedia.org/wiki/Chattanoogie_Shoe_Shine_Boy,8,"""Chattanoogie Shoe Shine Boy""",1950
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sammy Kaye,8,https://en.wikipedia.org/wiki/Harbor_Lights,9,"""Harbor Lights""",1950
9,,,,,,,,3:18,,,,,,,,,,"Richard Himber, Frank Warshauer, and Sylvester Sprigato",,,,,,,,,,,,,,,,,,,,,,,,Sammy Kaye & Don Cornell,9,https://en.wikipedia.org/wiki/It_Isn%27t_Fair,10,"""It Isn't Fair""",1950
10,Dixieland,Pop,,,,,,2:37,Tom Dowd,,,,,,,,1950,Al Hoffman,,,,,,,,,,,Bob Merrill,,,,,,Clem Watts,,,,,,,Eileen Barton,10,https://en.wikipedia.org/wiki/If_I_Knew_You_Were_Comin%27_I%27d%27ve_Baked_a_Cake,11,"""If I Knew You Were Coming I'd've Baked a Cake""",1950
11,Country,,,,,,,2:48,Jimmy Bowen,,,,,,,,"July 15, 1974",Pee Wee King,,,,,,,,,,,,,,,,,,,,,,,,Kay Starr,11,https://en.wikipedia.org/wiki/Bonaparte%27s_Retreat_(Pee_Wee_King_song),12,"""Bonaparte's Retreat""",1950
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrews Sisters & Gordon Jenkins,16,https://en.wikipedia.org/wiki/I_Wanna_Be_Loved,17,"""I Wanna Be Loved""",1950
17,Country music,,,,,,,,,,,,,,,,January 1948 (1948-01),,,,,,,,,,,,,,,,,,,,,,,,,Patti Page,17,https://en.wikipedia.org/wiki/Tennessee_Waltz,18,"""Tennessee Waltz""",1950
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrews Sisters & Gordon Jenkins,18,"https://en.wikipedia.org/wiki/I_Can_Dream,_Can%27t_I%3F",19,"""I Can Dream, Can't I""",1950
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tennessee Ernie Ford & Kay Starr,19,https://en.wikipedia.org/wiki/Tennessee_Ernie_Ford,20,"""I'll Never Be Free""",1950
20,Pop,,,,,,,3:13,,,,,,,,,August 1950,"Paul Durand, Mitchell Parish",,,,,,,,,,,,,,,,,,,,,,,,Patti Page,20,https://en.wikipedia.org/wiki/All_My_Love_(Patti_Page_song),21,"""All My Love""",1950
23,,,,,,,,,,,,,,,,,,Lorenz Hart,,,,,,,,,,,,,,,,,,,,,,,,Bill Snyder,23,"https://en.wikipedia.org/wiki/Bewitched,_Bothered_and_Bewildered",24,"""Bewitched""",1950
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perry Como,24,https://en.wikipedia.org/wiki/Hoop-Dee-Doo,25,"""Hoop-Dee-Doo""",1950
25,,,,,,,,,,,,,,,,,,Lorenz Hart,,,,,,,,,,,,,,,,,,,,,,,,Gordon Jenkins,25,"https://en.wikipedia.org/wiki/Bewitched,_Bothered_and_Bewildered",26,"""Bewitched""",1950
26,,,,,,,,,,,,,,,,,,"Bennie Benjamin, George David Weiss",,,,,,,,,,,,,,,,,,,,,,,,Ames Brothers,26,https://en.wikipedia.org/wiki/Can_Anyone_Explain%3F_(No!_No!_No!),27,"""Can Anyone Explain?""",1950
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing Crosby,28,https://en.wikipedia.org/wiki/Dear_Hearts_and_Gentle_People,29,"""Dear Hearts and Gentle People""",1950
29,Pop,,,,,,,2:40,,,,,,,,,1950,Terry Gilkyson,,,,,,,,,,,,,,,,,,,,,,,,Frankie Laine,29,https://en.wikipedia.org/wiki/The_Cry_of_the_Wild_Goose,30,"""The Cry of the Wild Goose""",1950
30,Pop,,,,,,,2:59,"Mike Curb, Don Costa",,,,,,,,"June 10, 1972","Sidney Lippman, Sylvia Dee",,,,,,,,,,,,,,,,,,,,,,,,Nat King Cole,0,https://en.wikipedia.org/wiki/Too_Young_(1951_song),1,"""Too Young""",1951
31,,,,,,,,,,,,,,,,,,"Arthur Hammerstein, Dudley Wilkinson",,,,,,,,,,,,,,,,,,,,,,,,Tony Bennett,1,https://en.wikipedia.org/wiki/Because_of_You_(1940_song),2,"""Because of You""",1951
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Les Paul & Mary Ford,2,https://en.wikipedia.org/wiki/How_High_the_Moon,3,"""How High the Moon""",1951
33,Traditional pop,,,,,,,2:02,Mitch Miller,,,,,,,,"June 6, 1951 (1951-06-06)[1]","Ross Bagdasarian, William Saroyan",,,,,,,,,,,,,,,,,,,,,,,,Rosemary Clooney,3,https://en.wikipedia.org/wiki/Come_on-a_My_House,4,"""Come on-a My House""",1951
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Lanza,4,https://en.wikipedia.org/wiki/Be_My_Love,5,"""Be My Love""",1951
36,Country,Honky-tonk,Blues,,,,,2:46,,,,,,,,,1951,Hank Williams,,,,,,,,,,,,,,,,,,,,,,,,Tony Bennett,6,"https://en.wikipedia.org/wiki/Cold,_Cold_Heart",7,"""Cold, Cold Heart""",1951
37,Vocal,,,,,,,3:12,,,,,,,,,December 1950,"Tolchard Evans, Robert Hargreaves, Stanley J. Damerell",,,,,,,,,,,,,,,,,,,,,,,,Perry Como,7,https://en.wikipedia.org/wiki/If_(They_Made_Me_a_King),8,"""If""",1951
